"Edit City '%1'","Sửa thành phố '%1'"
"New City","Thành phố mới"
"City Information","Thông tin thành phố"
"Full Name","Tên đầy đủ"
FullName,Tên đầy đủ
Code,Code
"Disable on storefront","Ẩn trên trang chủ"
"Edit District '%1'","Sửa quận/huyện '%1'"
"New District","Quận/huyện mới"
"District Information","Thông tin quận huyện"
"Is City Disabled On Storefront","Thành phố có bị vô hiệu hóa trên trang bán không"
"Edit Ward '%1'","Sửa phường/xã '%1'"
"New Ward","Phường/xã mới"
"Ward Information","Thông tin phường xã"
District,Quận/Huyện
"Is District Disabled","Quận/ huyện có  đangbị vô hiệu hóa không"
Ward,Phường/Xã
"This city no longer exists.","Thành phố này không còn tồn tại nữa."
"The city can not be deleted.","Thành phố không thể bị xóa."
"The city is deleted.","Thành phố đã bị xoá"
"Create New City","Tạo thành phố mới"
"Manage Cities","Quản lý thành phố"
"Can not delete these cities %1","Không thể xóa các thành phố này %1"
"A total of %1 record(s) have been deleted.","Tổng cộng %1 bản ghi đã bị xóa."
"A total of %1 record(s) have been updated.","Tổng cộng %1 bản ghi đã được cập nhật."
"The city saved successfully.","Đã lưu thành phố thành công."
"This district no longer exists.","Quận/huyện này không còn tồn tại."
"The district can not be deleted.","Quận/huyện không thể bị xóa."
"The district is deleted.","Quận/huyện đã bị xoá"
"Create New District","Tạo quận/huyện mới"
"Manage Districts","Quản lý quận/huyện"
"Can not delete these districts %1","Không thể xóa các quận/huyện này %1"
"The district saved successfully.","Đã lưu quận/huyện thành công."
"This ward no longer exists.","Phường/xã này không còn tồn tại."
"The ward is deleted.","Phường/xã đã bị xoá"
"Create New Ward","Tạo phường/xã mới"
"Manage Wards","Quản lý phường xã"
"Can not delete these wards %1","Không thể xóa các phường/xã này %1"
"The ward saved successfully.","Đã lưu phường/xã thành công."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" là bắt buộc. Nhập và thử lại."
"Invalid value of ""%value"" provided for the %fieldName field.","Giá trị không hợp lệ của ""%value"" được cung cấp cho trường %fieldName."
"Field '%1' is required.","Trường '%1' là bắt buộc."
"Codes is exist.","Mã là tồn tại."
"The shipping address is missing. Check city or district or ward then set the address and try again.","Địa chỉ giao hàng bị thiếu. Kiểm tra thành phố hoặc quận hoặc phường rồi đặt địa chỉ và thử lại."
"Please select city","Vui lòng chọn thành phố"
"Please select district","Vui lòng chọn quận/huyện"
"Please select ward","Vui lòng chọn phường/xã"
"* Required Fields","* Phần bắt buộc"
Magenest,Magenest
Directory,Thư mục địa chỉ
"Directory Configuration","Cấu hình thư mục địa chỉ"
"Directory Data Update","Cập nhập dữ liệu thư mục địa chỉ"
"Upload Directory Data (XLS, XLSX)","Cập nhập dữ liệu thư mục địa chỉ (XLS, XLSX)"
"Update Directory Data","Cập nhập dữ liệu thư mục địa chỉ"
"Delete selected city?","Xóa thành phố đã chọn?"
ID,ID
View,View
"Delete selected district?","Xóa quận/huyện đã chọn?"
"Delete selected ward?","Xóa phường/xã đã chọn?"
"Disabled on storefront","Vô hiệu hoá trên trang bán"
